trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
33,15:35:00,15:45:00,1,2,,0,0,
330,10:35:00,10:50:00,6,1,,0,0,
330,10:55:00,11:00:00,5,2,,0,0,
331,10:55:00,11:00:00,5,1,,0,0,
331,11:05:00,11:20:00,6,2,,0,0,
332,11:05:00,11:20:00,6,1,,0,0,
332,11:25:00,11:30:00,5,2,,0,0,
333,11:25:00,11:30:00,5,1,,0,0,
333,11:35:00,11:50:00,6,2,,0,0,
334,11:35:00,11:50:00,6,1,,0,0,
334,11:55:00,12:00:00,5,2,,0,0,
335,11:55:00,12:00:00,5,1,,0,0,
335,12:05:00,12:20:00,6,2,,0,0,
336,12:05:00,12:20:00,6,1,,0,0,
336,12:25:00,12:30:00,5,2,,0,0,
337,12:24:00,12:25:00,5,1,,0,0,
337,12:30:00,12:40:00,6,2,,0,0,
338,12:30:00,12:40:00,6,1,,0,0,
338,12:45:00,13:15:00,5,2,,0,0,
339,12:45:00,13:15:00,5,1,,0,0,
339,13:19:00,13:20:00,6,2,,0,0,
34,15:55:00,16:00:00,2,1,,0,0,
34,16:05:00,16:15:00,1,2,,0,0,
340,13:19:00,13:20:00,6,1,,0,0,
340,13:25:00,13:30:00,5,2,,0,0,
341,13:25:00,13:30:00,5,1,,0,0,
341,13:35:00,13:50:00,6,2,,0,0,
342,13:35:00,13:50:00,6,1,,0,0,
342,13:55:00,14:00:00,5,2,,0,0,
343,13:55:00,14:00:00,5,1,,0,0,
343,14:05:00,14:20:00,6,2,,0,0,
344,14:05:00,14:20:00,6,1,,0,0,
344,14:25:00,14:30:00,5,2,,0,0,
345,14:25:00,14:30:00,5,1,,0,0,
345,14:35:00,14:50:00,6,2,,0,0,
346,14:35:00,14:50:00,6,1,,0,0,
346,14:55:00,15:00:00,5,2,,0,0,
347,14:55:00,15:00:00,5,1,,0,0,
347,15:05:00,15:20:00,6,2,,0,0,
348,15:05:00,15:20:00,6,1,,0,0,
348,15:25:00,15:30:00,5,2,,0,0,
349,15:25:00,15:30:00,5,1,,0,0,
349,15:35:00,15:50:00,6,2,,0,0,
35,16:25:00,16:30:00,2,1,,0,0,
35,16:35:00,16:45:00,1,2,,0,0,
350,15:35:00,15:50:00,6,1,,0,0,
350,15:55:00,16:00:00,5,2,,0,0,
351,15:55:00,16:00:00,5,1,,0,0,
351,16:05:00,16:20:00,6,2,,0,0,
352,16:05:00,16:20:00,6,1,,0,0,
352,16:25:00,16:30:00,5,2,,0,0,
353,16:25:00,16:30:00,5,1,,0,0,
353,16:35:00,16:50:00,6,2,,0,0,
354,16:35:00,16:50:00,6,1,,0,0,
354,16:55:00,17:00:00,5,2,,0,0,
355,16:55:00,17:00:00,5,1,,0,0,
355,17:05:00,17:20:00,6,2,,0,0,
356,17:05:00,17:20:00,6,1,,0,0,
356,17:25:00,17:30:00,5,2,,0,0,
357,17:25:00,17:30:00,5,1,,0,0,
357,17:35:00,17:50:00,6,2,,0,0,
358,17:35:00,17:50:00,6,1,,0,0,
358,17:55:00,18:00:00,5,2,,0,0,
359,17:55:00,18:00:00,5,1,,0,0,
359,18:05:00,18:20:00,6,2,,0,0,
36,16:55:00,17:00:00,2,1,,0,0,
36,17:05:00,17:15:00,1,2,,0,0,
360,18:05:00,18:20:00,6,1,,0,0,
360,18:25:00,18:30:00,5,2,,0,0,
361,18:25:00,18:30:00,5,1,,0,0,
361,18:35:00,18:50:00,6,2,,0,0,
362,18:35:00,18:50:00,6,1,,0,0,
362,18:55:00,19:00:00,5,2,,0,0,
363,18:55:00,19:00:00,5,1,,0,0,
363,19:05:00,19:20:00,6,2,,0,0,
364,19:05:00,19:20:00,6,1,,0,0,
364,19:25:00,19:30:00,5,2,,0,0,
365,19:25:00,19:30:00,5,1,,0,0,
365,19:35:00,19:50:00,6,2,,0,0,
366,19:35:00,19:50:00,6,1,,0,0,
366,19:55:00,20:00:00,5,2,,0,0,
367,19:55:00,20:00:00,5,1,,0,0,
